"REF_DATE","GEO","DGUID","Products and product groups","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1914","Canada","2021A000011124","All-items","2002=100","17","units","0","v41693271","2.2","6.0","","","","1"
"1915","Canada","2021A000011124","All-items","2002=100","17","units","0","v41693271","2.2","6.1","","","","1"
"1916","Canada","2021A000011124","All-items","2002=100","17","units","0","v41693271","2.2","6.7","","","","1"
"1917","Canada","2021A000011124","All-items","2002=100","17","units","0","v41693271","2.2","7.9","","","","1"
"1918","Canada","2021A000011124","All-items","2002=100","17","units","0","v41693271","2.2","8.9","","","","1"
"1919","Canada","2021A000011124","All-items","2002=100","17","units","0","v41693271","2.2","9.8","","","","1"
"1920","Canada","2021A000011124","All-items","2002=100","17","units","0","v41693271","2.2","11.4","","","","1"
"1921","Canada","2021A000011124","All-items","2002=100","17","units","0","v41693271","2.2","10.0","","","","1"
"1922","Canada","2021A000011124","All-items","2002=100","17","units","0","v41693271","2.2","9.2","","","","1"
"1923","Canada","2021A000011124","All-items","2002=100","17","units","0","v41693271","2.2","9.2","","","","1"
"1924","Canada","2021A000011124","All-items","2002=100","17","units","0","v41693271","2.2","9.0","","","","1"
"1925","Canada","2021A000011124","All-items","2002=100","17","units","0","v41693271","2.2","9.1","","","","1"
"1926","Canada","2021A000011124","All-items","2002=100","17","units","0","v41693271","2.2","9.2","","","","1"
"1927","Canada","2021A000011124","All-items","2002=100","17","units","0","v41693271","2.2","9.1","","","","1"
"1928","Canada","2021A000011124","All-items","2002=100","17","units","0","v41693271","2.2","9.1","","","","1"
"1929","Canada","2021A000011124","All-items","2002=100","17","units","0","v41693271","2.2","9.2","","","","1"
"1930","Canada","2021A000011124","All-items","2002=100","17","units","0","v41693271","2.2","9.1","","","","1"
"1931","Canada","2021A000011124","All-items","2002=100","17","units","0","v41693271","2.2","8.2","","","","1"
"1932","Canada","2021A000011124","All-items","2002=100","17","units","0","v41693271","2.2","7.5","","","","1"
"1933","Canada","2021A000011124","All-items","2002=100","17","units","0","v41693271","2.2","7.1","","","","1"
"1934","Canada","2021A000011124","All-items","2002=100","17","units","0","v41693271","2.2","7.2","","","","1"
"1935","Canada","2021A000011124","All-items","2002=100","17","units","0","v41693271","2.2","7.3","","","","1"
"1936","Canada","2021A000011124","All-items","2002=100","17","units","0","v41693271","2.2","7.4","","","","1"
"1937","Canada","2021A000011124","All-items","2002=100","17","units","0","v41693271","2.2","7.7","","","","1"
"1938","Canada","2021A000011124","All-items","2002=100","17","units","0","v41693271","2.2","7.7","","","","1"
"1939","Canada","2021A000011124","All-items","2002=100","17","units","0","v41693271","2.2","7.7","","","","1"
"1940","Canada","2021A000011124","All-items","2002=100","17","units","0","v41693271","2.2","8.0","","","","1"
"1941","Canada","2021A000011124","All-items","2002=100","17","units","0","v41693271","2.2","8.5","","","","1"
"1942","Canada","2021A000011124","All-items","2002=100","17","units","0","v41693271","2.2","8.8","","","","1"
"1943","Canada","2021A000011124","All-items","2002=100","17","units","0","v41693271","2.2","9.0","","","","1"
"1944","Canada","2021A000011124","All-items","2002=100","17","units","0","v41693271","2.2","9.1","","","","1"
"1945","Canada","2021A000011124","All-items","2002=100","17","units","0","v41693271","2.2","9.2","","","","1"
"1946","Canada","2021A000011124","All-items","2002=100","17","units","0","v41693271","2.2","9.4","","","","1"
"1947","Canada","2021A000011124","All-items","2002=100","17","units","0","v41693271","2.2","10.3","","","","1"
"1948","Canada","2021A000011124","All-items","2002=100","17","units","0","v41693271","2.2","11.8","","","","1"
"1949","Canada","2021A000011124","All-items","2002=100","17","units","0","v41693271","2.2","12.2","","","","1"
"1950","Canada","2021A000011124","All-items","2002=100","17","units","0","v41693271","2.2","12.5","","","","1"
"1951","Canada","2021A000011124","All-items","2002=100","17","units","0","v41693271","2.2","13.8","","","","1"
"1952","Canada","2021A000011124","All-items","2002=100","17","units","0","v41693271","2.2","14.2","","","","1"
"1953","Canada","2021A000011124","All-items","2002=100","17","units","0","v41693271","2.2","14.0","","","","1"
"1954","Canada","2021A000011124","All-items","2002=100","17","units","0","v41693271","2.2","14.1","","","","1"
"1955","Canada","2021A000011124","All-items","2002=100","17","units","0","v41693271","2.2","14.1","","","","1"
"1956","Canada","2021A000011124","All-items","2002=100","17","units","0","v41693271","2.2","14.3","","","","1"
"1957","Canada","2021A000011124","All-items","2002=100","17","units","0","v41693271","2.2","14.8","","","","1"
"1958","Canada","2021A000011124","All-items","2002=100","17","units","0","v41693271","2.2","15.2","","","","1"
"1959","Canada","2021A000011124","All-items","2002=100","17","units","0","v41693271","2.2","15.3","","","","1"
"1960","Canada","2021A000011124","All-items","2002=100","17","units","0","v41693271","2.2","15.5","","","","1"
"1961","Canada","2021A000011124","All-items","2002=100","17","units","0","v41693271","2.2","15.7","","","","1"
"1962","Canada","2021A000011124","All-items","2002=100","17","units","0","v41693271","2.2","15.9","","","","1"
"1963","Canada","2021A000011124","All-items","2002=100","17","units","0","v41693271","2.2","16.1","","","","1"
"1964","Canada","2021A000011124","All-items","2002=100","17","units","0","v41693271","2.2","16.4","","","","1"
"1965","Canada","2021A000011124","All-items","2002=100","17","units","0","v41693271","2.2","16.8","","","","1"
"1966","Canada","2021A000011124","All-items","2002=100","17","units","0","v41693271","2.2","17.5","","","","1"
"1967","Canada","2021A000011124","All-items","2002=100","17","units","0","v41693271","2.2","18.1","","","","1"
"1968","Canada","2021A000011124","All-items","2002=100","17","units","0","v41693271","2.2","18.8","","","","1"
"1969","Canada","2021A000011124","All-items","2002=100","17","units","0","v41693271","2.2","19.7","","","","1"
"1970","Canada","2021A000011124","All-items","2002=100","17","units","0","v41693271","2.2","20.3","","","","1"
"1971","Canada","2021A000011124","All-items","2002=100","17","units","0","v41693271","2.2","20.9","","","","1"
"1972","Canada","2021A000011124","All-items","2002=100","17","units","0","v41693271","2.2","21.9","","","","1"
"1973","Canada","2021A000011124","All-items","2002=100","17","units","0","v41693271","2.2","23.6","","","","1"
"1974","Canada","2021A000011124","All-items","2002=100","17","units","0","v41693271","2.2","26.2","","","","1"
"1975","Canada","2021A000011124","All-items","2002=100","17","units","0","v41693271","2.2","29.0","","","","1"
"1976","Canada","2021A000011124","All-items","2002=100","17","units","0","v41693271","2.2","31.1","","","","1"
"1977","Canada","2021A000011124","All-items","2002=100","17","units","0","v41693271","2.2","33.6","","","","1"
"1978","Canada","2021A000011124","All-items","2002=100","17","units","0","v41693271","2.2","36.6","","","","1"
"1979","Canada","2021A000011124","All-items","2002=100","17","units","0","v41693271","2.2","40.0","","","","1"
"1980","Canada","2021A000011124","All-items","2002=100","17","units","0","v41693271","2.2","44.0","","","","1"
"1981","Canada","2021A000011124","All-items","2002=100","17","units","0","v41693271","2.2","49.5","","","","1"
"1982","Canada","2021A000011124","All-items","2002=100","17","units","0","v41693271","2.2","54.9","","","","1"
"1983","Canada","2021A000011124","All-items","2002=100","17","units","0","v41693271","2.2","58.1","","","","1"
"1984","Canada","2021A000011124","All-items","2002=100","17","units","0","v41693271","2.2","60.6","","","","1"
"1985","Canada","2021A000011124","All-items","2002=100","17","units","0","v41693271","2.2","63.0","","","","1"
"1986","Canada","2021A000011124","All-items","2002=100","17","units","0","v41693271","2.2","65.6","","","","1"
"1987","Canada","2021A000011124","All-items","2002=100","17","units","0","v41693271","2.2","68.5","","","","1"
"1988","Canada","2021A000011124","All-items","2002=100","17","units","0","v41693271","2.2","71.2","","","","1"
"1989","Canada","2021A000011124","All-items","2002=100","17","units","0","v41693271","2.2","74.8","","","","1"
"1990","Canada","2021A000011124","All-items","2002=100","17","units","0","v41693271","2.2","78.4","","","","1"
"1991","Canada","2021A000011124","All-items","2002=100","17","units","0","v41693271","2.2","82.8","","","","1"
"1992","Canada","2021A000011124","All-items","2002=100","17","units","0","v41693271","2.2","84.0","","","","1"
"1993","Canada","2021A000011124","All-items","2002=100","17","units","0","v41693271","2.2","85.6","","","","1"
"1994","Canada","2021A000011124","All-items","2002=100","17","units","0","v41693271","2.2","85.7","","","","1"
"1995","Canada","2021A000011124","All-items","2002=100","17","units","0","v41693271","2.2","87.6","","","","1"
"1996","Canada","2021A000011124","All-items","2002=100","17","units","0","v41693271","2.2","88.9","","","","1"
"1997","Canada","2021A000011124","All-items","2002=100","17","units","0","v41693271","2.2","90.4","","","","1"
"1998","Canada","2021A000011124","All-items","2002=100","17","units","0","v41693271","2.2","91.3","","","","1"
"1999","Canada","2021A000011124","All-items","2002=100","17","units","0","v41693271","2.2","92.9","","","","1"
"2000","Canada","2021A000011124","All-items","2002=100","17","units","0","v41693271","2.2","95.4","","","","1"
"2001","Canada","2021A000011124","All-items","2002=100","17","units","0","v41693271","2.2","97.8","","","","1"
"2002","Canada","2021A000011124","All-items","2002=100","17","units","0","v41693271","2.2","100.0","","","","1"
"2003","Canada","2021A000011124","All-items","2002=100","17","units","0","v41693271","2.2","102.8","","","","1"
"2004","Canada","2021A000011124","All-items","2002=100","17","units","0","v41693271","2.2","104.7","","","","1"
"2005","Canada","2021A000011124","All-items","2002=100","17","units","0","v41693271","2.2","107.0","","","","1"
"2006","Canada","2021A000011124","All-items","2002=100","17","units","0","v41693271","2.2","109.1","","","","1"
"2007","Canada","2021A000011124","All-items","2002=100","17","units","0","v41693271","2.2","111.5","","","","1"
"2008","Canada","2021A000011124","All-items","2002=100","17","units","0","v41693271","2.2","114.1","","","","1"
"2009","Canada","2021A000011124","All-items","2002=100","17","units","0","v41693271","2.2","114.4","","","","1"
"2010","Canada","2021A000011124","All-items","2002=100","17","units","0","v41693271","2.2","116.5","","","","1"
"2011","Canada","2021A000011124","All-items","2002=100","17","units","0","v41693271","2.2","119.9","","","","1"
"2012","Canada","2021A000011124","All-items","2002=100","17","units","0","v41693271","2.2","121.7","","","","1"
"2013","Canada","2021A000011124","All-items","2002=100","17","units","0","v41693271","2.2","122.8","","","","1"
"2014","Canada","2021A000011124","All-items","2002=100","17","units","0","v41693271","2.2","125.2","","","","1"
"2015","Canada","2021A000011124","All-items","2002=100","17","units","0","v41693271","2.2","126.6","","","","1"
"2016","Canada","2021A000011124","All-items","2002=100","17","units","0","v41693271","2.2","128.4","","","","1"
"2017","Canada","2021A000011124","All-items","2002=100","17","units","0","v41693271","2.2","130.4","","","","1"
"2018","Canada","2021A000011124","All-items","2002=100","17","units","0","v41693271","2.2","133.4","","","","1"
"2019","Canada","2021A000011124","All-items","2002=100","17","units","0","v41693271","2.2","136.0","","","","1"
"2020","Canada","2021A000011124","All-items","2002=100","17","units","0","v41693271","2.2","137.0","","","","1"
"2021","Canada","2021A000011124","All-items","2002=100","17","units","0","v41693271","2.2","141.6","","","","1"
"2022","Canada","2021A000011124","All-items","2002=100","17","units","0","v41693271","2.2","151.2","","","","1"
"2023","Canada","2021A000011124","All-items","2002=100","17","units","0","v41693271","2.2","157.1","","","","1"
"2024","Canada","2021A000011124","All-items","2002=100","17","units","0","v41693271","2.2","160.9","","","","1"
"1949","Canada","2021A000011124","Food","2002=100","17","units","0","v41693272","2.3","11.5","","","","1"
"1950","Canada","2021A000011124","Food","2002=100","17","units","0","v41693272","2.3","11.8","","","","1"
"1951","Canada","2021A000011124","Food","2002=100","17","units","0","v41693272","2.3","13.4","","","","1"
"1952","Canada","2021A000011124","Food","2002=100","17","units","0","v41693272","2.3","13.4","","","","1"
"1953","Canada","2021A000011124","Food","2002=100","17","units","0","v41693272","2.3","12.9","","","","1"
"1954","Canada","2021A000011124","Food","2002=100","17","units","0","v41693272","2.3","12.9","","","","1"
"1955","Canada","2021A000011124","Food","2002=100","17","units","0","v41693272","2.3","12.9","","","","1"
"1956","Canada","2021A000011124","Food","2002=100","17","units","0","v41693272","2.3","13.0","","","","1"
"1957","Canada","2021A000011124","Food","2002=100","17","units","0","v41693272","2.3","13.6","","","","1"
"1958","Canada","2021A000011124","Food","2002=100","17","units","0","v41693272","2.3","14.0","","","","1"
"1959","Canada","2021A000011124","Food","2002=100","17","units","0","v41693272","2.3","13.9","","","","1"
"1960","Canada","2021A000011124","Food","2002=100","17","units","0","v41693272","2.3","14.0","","","","1"
"1961","Canada","2021A000011124","Food","2002=100","17","units","0","v41693272","2.3","14.2","","","","1"
"1962","Canada","2021A000011124","Food","2002=100","17","units","0","v41693272","2.3","14.5","","","","1"
"1963","Canada","2021A000011124","Food","2002=100","17","units","0","v41693272","2.3","15.0","","","","1"
"1964","Canada","2021A000011124","Food","2002=100","17","units","0","v41693272","2.3","15.2","","","","1"
"1965","Canada","2021A000011124","Food","2002=100","17","units","0","v41693272","2.3","15.6","","","","1"
"1966","Canada","2021A000011124","Food","2002=100","17","units","0","v41693272","2.3","16.6","","","","1"
"1967","Canada","2021A000011124","Food","2002=100","17","units","0","v41693272","2.3","16.8","","","","1"
"1968","Canada","2021A000011124","Food","2002=100","17","units","0","v41693272","2.3","17.3","","","","1"
"1969","Canada","2021A000011124","Food","2002=100","17","units","0","v41693272","2.3","18.1","","","","1"
"1970","Canada","2021A000011124","Food","2002=100","17","units","0","v41693272","2.3","18.5","","","","1"
"1971","Canada","2021A000011124","Food","2002=100","17","units","0","v41693272","2.3","18.7","","","","1"
"1972","Canada","2021A000011124","Food","2002=100","17","units","0","v41693272","2.3","20.1","","","","1"
"1973","Canada","2021A000011124","Food","2002=100","17","units","0","v41693272","2.3","23.1","","","","1"
